"filename", "language", "C++", "YAML", "Markdown", "JSON", "Swift", "Dart", "HTML", "XML", "Gradle", "Properties", "Java", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\info\gyminfo.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 3, 78
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\settings\functions\useroptionsmenu.dart", "Dart", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 2, 66
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\settings\invite\choosevaluedialog.dart", "Dart", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\settings\invite\invitesettings.dart", "Dart", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 4, 125
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\settings\invite\lengthinputdialog.dart", "Dart", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\settings\settings.dart", "Dart", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 3, 87
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\settings\widgets\option.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\menu\pages\settings\widgets\usersettingstile.dart", "Dart", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 6, 121
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\widgets\gym_view.dart", "Dart", 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 4, 170
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\gym\widgets\optionsbutton.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\join_gym\gymjoinsheet.dart", "Dart", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 4, 101
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\join_gym\join_gym.dart", "Dart", 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\rating\data\ratingdata.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\rating\rate_gym.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 4, 106
